"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_177",3.04,0.427941381058929,5.53638877722142,73.22,51.04,1.37,0.35,0.77,59.7342546333705,0.43,0.143650742301888,28.03,38.63,430.39,7.48745882237062,302.67,13.67,1.84,1.56
"PPN_178",1.81,0.258673730441192,6.49921649948464,74.42,47.42,1.32,0.42,0.83,35.7202936206447,0.36,0.102911941596482,27.47,43.93,533.09,13.7415193412211,425.33,12.87,2.65,2.27
"PPN_179",3,0.425668091523527,4.80541886288838,64.84,45.82,1.4,0.39,0.82,63.2651851236204,0.38,0.165481392321406,27.1,39.87,452.56,7.26277995932541,674.67,13.63,1.49,1.74
"PPN_180",2.62,0.354218989781491,6.52759912939623,75.81,52.29,1.44,0.35,0.77,46.7025529402621,0.35,0.133892661568907,29.2,39.4,444.68,10.3667379832475,509.33,13.63,1.66,1.87
"PPN_181",2.88,0.413471043847609,5.15338617441978,75.01,49.15,1.29,0.39,0.83,56.34469471386,0.37,0.150208704371563,29,38.37,425.36,7.78161618283261,578.67,14.4,1.84,1.69
"PPN_182",2.94,0.412204529010201,6.19558007390009,101.31,53.21,1.28,0.45,0.86,41.7449418070735,0.29,0.135355305774708,26.33,35.47,376.12,9.78111523943088,585.33,12.4,2.11,1.62
"PPN_183",2.75,0.437044909236953,4.08970399035391,62.99,41.08,1.55,0.45,0.85,68.424364659649,0.47,0.152821103077455,30.63,33.63,345.81,3.75402964184732,545.33,10.9,1.59,1.29
"PPN_184",2.65,0.407417164186546,4.9351990374667,84.64,52.38,1.21,0.38,0.84,51.5750872642828,0.37,0.136031570803232,29.23,36.1,386.2,7.55949440183684,653.33,12.13,2.36,1.78
"PPN_185",2.64,0.370091839093447,6.32894491984633,85.83,55.63,1.33,0.35,0.8,44.3194177550619,0.42,0.105468395856193,30.33,41.4,481.26,11.2389537581018,684,14.2,2.07,1.86
"PPN_186",1.98,0.300327223933427,5.16395005027516,56.31,38.63,1.41,0.47,0.85,51.44909248144,0.34,0.148414388246007,27.23,46.23,579.02,11.8450336658006,608,11.2,1.82,1.92
"PPN_187",2.34,0.360526353617183,5.91144291722363,80.9,52.96,1.36,0.36,0.79,47.1735739668328,0.38,0.125958788863242,35.8,42.93,510.85,11.0059137921894,396,11.73,1.95,1.63
"PPN_188",3.79,0.499434267138658,6.55898382817008,108.59,58.03,1.24,0.4,0.82,49.4151826728214,0.39,0.128198074427237,28.1,37.73,417.48,9.24513302592325,521.33,13.03,1.8,1.93
"PPN_189",1.92,0.330057488642873,4.04291533500804,50.11,37.1,1.51,0.45,0.83,60.5286647048444,0.35,0.168659541818766,32.57,39.27,441.74,6.77244308137459,504,10.27,2.73,2.29
"PPN_190",2.71,0.387916146972791,5.33041248460765,76.34,48,1.34,0.42,0.86,52.1172574714858,0.39,0.133521323713355,24.23,41.83,490.41,10.1435615154797,633.33,12.25,1.71,1.69
"PPN_191",2.23,0.305549371560529,6.74620045743379,78.82,50.53,1.49,0.39,0.81,38.7879756732313,0.37,0.107014624638488,27.9,37.67,413,11.1453971074467,702.67,12.93,1.94,2.07
"PPN_192",1.6,0.250878151913048,6.10261772534303,58.99,43.88,1.52,0.39,0.8,43.893022936789,0.4,0.113932892460345,31.23,39.13,439.14,10.3482918637616,337.33,10.5,1.87,2.07
"PPN_193",1.7,0.214922270292714,7.14646401524272,66.78,45.2,1.39,0.42,0.82,32.327223983893,0.32,0.106479709027378,22.65,43.5,524.76,14.8069931820395,494,13.35,1.94,2.17
"PPN_194",1.91,0.272043431854885,6.38714570231743,65.08,49.72,1.55,0.34,0.77,41.9624105177133,0.37,0.117404038937591,28.9,44.53,543.12,12.8654945038091,452,11.33,2.45,2.59
"PPN_195",2.08,0.224805603076013,7.56945401679938,58.17,43.47,1.29,0.39,0.79,37.4835027700948,0.39,0.101051559174884,21.85,44.75,550.73,14.5396150209355,612,16.1,1.35,2.52
"PPN_196",1.67,0.156993334065123,8.91934851578844,73.95,46.17,1.45,0.43,0.82,18.8631928563534,0.32,0.0736078398091335,19.53,37.43,409.42,15.5423052828398,492,17.1,1.68,2.27
"PPN_197",1.82,0.250207223828144,6.95476768897118,78.83,48.28,1.28,0.43,0.82,31.9534546407969,0.35,0.0961476560816537,26.13,41.4,481.86,13.604350222546,357.33,13.85,2.81,2.14
"PPN_198",1.74,0.245909044224465,6.81329439647251,69.44,42.64,1.37,0.47,0.84,36.818920108467,0.4,0.0957792211185354,31.7,45.5,563.84,14.2765962739963,552,12.43,1.74,2.02
