"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_264",7.376227379,34.908741,3.181459188,14.88854218,524.0163574,20.37009048,10.90091038,18.14159012,7.377015114,25.83995247,34.32012177,13.31665134,9.833889961,7.795564651,9.000597,1014.386047,67.54268646,21.0010295,10.82569218,19.95436287,19.04495811,10.75817013,5.995354176,13.23124242,18.68418121,NA,6.619488716,1.69836998,2.532921315,2.384209633,NA,2.707621098
"PPN_265",6.491765022,60.93222427,5.006824017,37.0128746,1466.734131,60.85518265,11.3084631,19.54042816,12.60800552,41.92913818,24.31346893,19.55443764,12.73425961,8.856776237,29.30206299,2540.773193,97.27740479,46.58683968,27.19183731,23.74361992,35.97865677,19.56172371,NA,25.52411842,24.45730591,16.55759812,NA,NA,3.337888718,7.654883385,1.353211522,3.277046919
"PPN_266",5.861479759,46.35906219,5.543283463,20.19352722,666.0237427,27.24265289,9.798025131,15.97970581,7.51066637,43.31920242,13.52912545,22.46979523,19.16331291,6.453526974,11.70159912,1595.722778,77.51495361,41.37163544,19.83053207,17.13062859,50.25641251,NA,NA,19.53018188,26.91879654,NA,NA,NA,3.88288331,5.700927258,2.139126659,3.185459852
"PPN_267",2.436150551,61.222435,7.682824135,17.95041084,780.1453857,63.40342331,15.4687109,35.31795502,NA,31.75717163,40.40753174,28.10355759,17.50359344,8.640051842,28.12324333,1515.433838,91.97702789,74.51946259,14.81931877,20.11587524,29.14995766,19.77980995,NA,18.6127243,25.17728043,16.23145986,NA,NA,NA,5.861663342,1.129790545,3.16257906
"PPN_268",1.272185564,42.73096848,4.576900005,19.66917419,480.5792542,62.59420013,14.34357071,12.53119016,6.74204874,36.72735596,21.89093399,16.13403702,13.3125639,11.20268822,NA,1187.65271,79.67219543,45.16227341,11.12910557,16.26808167,24.28038597,13.63463211,5.105242729,12.23888373,17.96117973,5.963242054,5.124137163,2.703886032,2.148848295,2.243135572,1.250400662,3.314949036
"PPN_269",NA,62.53819656,3.472097158,17.05874825,717.8319092,73.73874664,12.66396999,24.07121658,9.069570541,32.1725502,27.38783264,19.31319618,14.02937603,11.46818066,NA,1626.65686,102.0958862,45.35344506,14.99859238,18.86511803,44.6607666,NA,11.92112064,26.93576813,17.55719566,8.178623199,6.112903595,5.132348061,NA,4.786050797,1.41333425,3.302634239
"PPN_270",1.246474028,25.96794891,2.929928064,11.66747284,428.8832703,37.91577911,7.607558727,18.37474823,NA,28.87198257,11.54794216,15.03303432,6.244833946,6.267886162,NA,822.4272461,50.06542587,19.12902594,12.30328465,14.61277866,16.48225212,11.77535439,NA,11.1095953,19.69397926,NA,NA,NA,2.690669775,3.355662107,1.718520999,3.819480658
"PPN_271",NA,39.84492874,2.896988153,19.10400391,565.7401123,29.82468033,10.60083294,14.12398434,8.622297287,28.72254181,31.15989685,22.44308662,14.01650333,10.44628429,26.95543289,1365.151733,94.0623703,46.3090744,15.90873814,24.35682487,52.76105881,NA,20.71058273,11.14897728,16.45565129,21.76232529,8.232680321,4.217644215,6.213577748,7.460114956,NA,2.446414232
"PPN_272",2.13467288,27.83367729,3.344564199,15.71889687,230.0753479,41.30013275,11.0219326,12.97947407,7.269672871,25.86635399,24.98659134,8.629758476,9.743289948,9.749282837,NA,470.9500732,47.27997589,38.60246277,13.1897707,8.518172264,48.01340103,NA,14.00778961,NA,25.46466255,NA,6.445986271,6.625014305,NA,6.035265923,1.464940786,3.224287987
"PPN_273",1.807596326,59.26004791,3.765934467,16.14683914,590.6506958,64.37329102,12.84590912,20.95297241,7.3263731,13.4590292,30.98545456,17.7870636,11.4707222,10.44428539,22.93399811,1378.957642,90.29577637,55.74547577,15.70648766,19.60835075,22.07692146,14.54554367,13.56889343,NA,20.95384216,7.31737709,4.969861507,5.278469086,NA,4.840853214,2.515078426,3.222537279
"PPN_274",1.918402672,67.76991272,3.518204212,13.91790009,555.4732666,83.76612091,8.601085663,26.77727699,NA,16.3998661,25.31612015,18.99852753,9.476666451,9.606509209,NA,1383.21521,87.56586456,45.15834332,18.99165154,20.04978371,26.83330727,17.0463295,17.41691399,NA,33.98908615,NA,8.655897141,3.186515808,4.002475977,4.818436146,2.46354568,3.072251081
