Line_PPN,CORE12,FreshMass,DryMass,WaterContent,LeafArea,Perimeter,AspectRatio,Circularity,Solidity,LMA,LaminaThickness,LaminaDensity,LaminaToughness,ChlorophyllContent _SPAD,ChlorophyllContent_areabasis,ChlorophyllContent_massbasis,TrichomeDensity,AshContent,TotalPhenolics,TotalFlavonoids,LES_PC1
PPN_088,NON-CORE,2.36,0.27,7.87,72.51,41.75,1.61,0.53,0.89,36.69,0.48,0.08,26.57,42.27,497.8,13.57,376,14.23,1.05,1.49,-2.132262876
PPN_089,NON-CORE,2.79,0.49,5.03,83.16,45.91,1.35,0.5,0.86,57.29,0.39,0.15,40.43,37.6,413.06,7.79,242.67,9.2,1.07,1.6,3.227855623
PPN_090,NON-CORE,2.18,0.26,7.3,73.08,44.3,1.45,0.46,0.84,35.49,0.35,0.1,28.33,42.7,507.79,14.29,557.33,12.7,1.17,1.8,-1.768892479
PPN_091,NON-CORE,2.27,0.25,8.15,63.82,38.86,1.33,0.53,0.87,39.18,0.48,0.08,23.13,41.87,490.25,12.6,456,15.03,0.94,1.64,-2.230257362
PPN_092,NON-CORE,1.7,0.23,6.35,57.19,36.04,1.36,0.56,0.9,40.59,0.44,0.09,27.8,40.33,461.24,11.49,422.67,13.13,1.26,1.6,-0.758020022
PPN_093,CORE,0.8,0.09,7.84,31.47,31.06,1.85,0.41,0.84,28.66,0.43,0.07,22.13,36.43,391.9,13.67,434.67,16.7,0.85,1.66,-3.493339721
PPN_094,CORE,1.89,0.25,6.61,64.73,40.9,1.32,0.49,0.9,38.45,0.44,0.09,24.9,40.2,458.93,11.96,393.33,13.47,1.15,1.64,-1.322796331
PPN_095,NON-CORE,2.03,0.23,8.79,55.84,44.02,1.59,0.41,0.82,38.7,0.48,0.09,24.2,37.75,414.46,11.64,142,12.1,0.81,1.31,-1.777949274
PPN_096,NON-CORE,1.81,0.23,6.72,60.79,39.31,1.36,0.49,0.85,38.59,0.3,0.13,24.67,46.03,574.34,14.93,428,12.73,0.92,1.41,-1.580886685
PPN_097,NON-CORE,2.48,0.31,7.18,79.89,43.1,1.35,0.54,0.87,39.81,0.33,0.14,26.67,38.47,427.71,11.26,600,15.07,0.99,1.51,-1.102574814
PPN_098,NON-CORE,2.78,0.34,7.33,72.76,42.35,1.3,0.49,0.9,47.59,0.41,0.13,34.13,46.13,581.07,12.5,176,10.67,0.84,1.67,0.290140863
PPN_099,NON-CORE,0.9,0.12,6.55,35.09,30.96,1.39,0.46,0.84,33.64,0.36,0.1,21.8,37.23,405.46,12.06,477.33,16.07,1.15,1.74,-2.258163278
PPN_100,NON-CORE,2.38,0.3,6.97,77.81,46.3,1.34,0.46,0.86,39.27,0.28,0.15,29.57,36.63,396.06,10.22,344,13.9,1.22,1.68,-0.542169425
PPN_101,NON-CORE,1.02,0.12,7.4,39.15,30.35,1.56,0.53,0.89,30.94,0.4,0.08,19.57,37.73,415.79,13.5,446.67,13.7,1.06,1.99,-2.945835169
PPN_102,NON-CORE,2.34,0.33,6.14,76.39,44,1.2,0.49,0.88,43.04,0.29,0.15,27.8,46.07,574.88,13.46,420,11.97,1.34,2.41,-0.282757496
PPN_103,NON-CORE,1.9,0.27,5.95,60.98,40.48,1.42,0.47,0.86,44.96,0.28,0.16,28.3,43.83,529.54,11.82,296,12.37,1.26,1.6,0.17571295
PPN_104,NON-CORE,2.22,0.28,7.35,69.05,42.86,1.61,0.47,0.87,38.84,0.35,0.12,24.53,43.07,513.9,13.34,422.67,11.9,1.07,1.77,-1.513803698
